PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,LastApprovedDate,NextReview
POL-0280,Policy 280: Risk Management,Legal,Approved,DEP-010,5/20/24,2/5/24,2/4/27
POL-0281,Policy 281: Access Management,Employer,Under Review,DEP-009,7/14/06,12/4/24,12/4/27
POL-0282,Policy 282: Leave Management,Finance,Draft,DEP-001,4/7/18,10/16/24,10/16/27
POL-0283,Policy 273: Conduct Management,Employer,Approved,DEP-003,7/14/06,1/16/24,1/15/27
POL-0284,Policy 284: Leave Management,Compliance,Approved,DEP-004,5/7/16,10/4/24,10/4/27
POL-0285,Policy 285: Risk Management,Admin,Approved,DEP-013,10/1/05,2/27/23,2/26/26
POL-0286,Policy 286: Retention Management,HR,Approved,DEP-006,2/2/15,10/31/24,10/31/27
POL-0287,Policy 287: Conduct Management,Legal,Approved,DEP-004,7/28/18,10/28/24,10/28/27
POL-0288,Policy 288: Records Management,Employer,Retired,DEP-012,4/28/07,5/9/24,5/9/27
POL-0289,Policy 289: Security Management,Risk,Retired,DEP-001,6/30/19,2/3/23,2/2/26
POL-0290,Policy 290: Training Management,Risk,Approved,DEP-006,9/22/16,12/5/24,12/5/27
POL-0291,Policy 291: Travel Management,Finance,Retired,DEP-005,9/9/13,9/27/24,9/27/27
POL-0292,Policy 292: Risk Management,HR,Approved,DEP-006,7/14/06,7/30/24,7/30/27
POL-0293,Policy 293: Security Management,Legal,Under Review,DEP-008,2/14/07,8/28/23,8/27/26
POL-0294,Policy 294: Leave Management,Finance,Under Review,DEP-001,3/26/21,12/3/20,12/3/23
POL-0295,Policy 295: Access Management,Legal,Under Review,DEP-001,10/30/06,7/18/24,7/18/27
POL-0296,Policy 296: Travel Management,Finance,Approved,DEP-001,9/19/19,9/20/24,9/20/27
POL-0297,Policy 297: Access Management,Admin,Approved,DEP-001,11/24/20,1/12/24,1/11/27
POL-0298,Policy 298: Retention Management,Member,Approved,DEP-013,6/8/19,6/26/24,6/26/27
POL-0299,Policy 299: Retention Management,Compliance,Under Review,DEP-009,6/29/19,9/9/24,9/9/27
POL-0300,Policy 300: Travel Management,HR,Draft,DEP-001,2/18/13,6/7/22,6/6/25
