PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,ExpirationDate,LastUpdatedDate
POL-0290,Policy 290: Training Management,Risk,Approved,DEP-006,2016-09-22,,2020-10-21
POL-0291,Policy 291: Travel Management,Finance,Retired,DEP-005,2013-09-09,  ,2021-04-11
POL-0292,Policy 292: Risk Management,HR,Approved,DEP-006,,,2024-07-30
POL-0293,Policy 293: Security Management,Legal,Under Review,DEP-008,2007-02-14,,16-Oct-2015
POL-0294,Policy 294: Leave Management,Finance,Under Review,DEP-001,2021-03-26,,2024-08-11
POL-0295,Policy 295: Access Management,Legal,Under Review,DEP-001,2006-10-30,,2009-12-31
POL-0296,Policy 296: Travel Management, Finance ,Approved,DEP-001,2019-09-19,,2024-02-10
POL-0297,Policy 297: Access Management,Admin,Approved,DEP-001,"Nov 24, 2020",,
POL-0298,Policy 298: Retention Management,Member,Approved, DEP-013 ,2019-06-08,,2020-11-12
POL-0299,Policy 299: Retention Management,Compliance,Under Review,DEP-009,06/29/2019,  ,2025-03-11
POL-0300,Policy 300: Travel Management,HR,Draft,DEP-001,2013-02-18,,2017-12-08
 POL-0190 ,Policy 190: Conduct Management,Employer,Approved,DEP-011,2019-04-23,,2022-03-03
POL-0124,Policy 124: Procurement Management,Risk,Retired,DEP-005,2012-06-02,,2022-08-06
POL-0186,Policy 186: Records Management,, Draft ,DEP-001,2022-11-10,2025-11-10,
POL-0214,Policy 214: Leave Management,Member,,DEP-005, 2007-08-14 , 2008-08-14 ,2014-06-11
POL-0107,Policy 107: Security Management,Finance,Under Review,DEP-009,27-Jan-2024,,2024-05-29
POL-0128,,Risk,draft,DEP-001,2018-05-21,  ,2019-07-06
